base_score,[482.04916064]
age,Score
"(-inf, 36.0]",-4.183415824432872
"(36.0, 54.0]",-2.248764196186107
"(54.0, 61.0]",2.0307094028007344
"(61.0, 74.0]",8.061215859970435
"(74.0, inf]",13.765156015630017
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0991]",47.72751373796695
"(0.0991, 0.299]",14.538773270709498
"(0.299, 0.466]",-2.788015962559485
"(0.466, 0.983]",-23.25175200852704
"(0.983, 1.0]",-10.262619838850894
"(1.0, inf]",-44.210247294984
DebtRatio,Score
"(-inf, 0.0175]",32.72210533838293
"(0.0175, 0.402]",0.7780104390006763
"(0.402, 1.47]",-8.385629417574945
"(1.47, inf]",3.791308015544026
MonthlyIncome,Score
"(-inf, 0.103]",24.15368088373889
"(0.103, 4600.0]",-4.31716602922758
"(4600.0, inf]",2.5218037351598204
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.192231059039186
"(1.0, 3.0]",-2.4185205188355323
"(3.0, 5.0]",-0.40547654207754324
"(5.0, 17.0]",0.9118666140334527
"(17.0, inf]",3.343114568086737
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.567511403049567
"(0.0, 1.0]",-13.744089784692816
"(1.0, 2.0]",-21.737216699350913
"(2.0, inf]",-24.378600622292172
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.9577187459504795
"(0.0, 1.0]",-29.341421208054395
"(1.0, 2.0]",-37.80010414558195
"(2.0, inf]",-40.22075133168104
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.461632006170138
"(0.0, 1.0]",5.134232075543773
"(1.0, 2.0]",16.454283093532503
"(2.0, 4.0]",10.428876498693771
"(4.0, inf]",-7.54929559741798
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.0041559167163787
"(0.0, 1.0]",-11.162106576117646
"(1.0, 2.0]",-14.219595817102125
"(2.0, inf]",-14.500231480934149
NumberOfDependents,Score
"(-inf, 0.0]",14.527816956472822
"(0.0, 1.0]",-13.544028252289607
"(1.0, 2.0]",-12.255713221879267
"(2.0, inf]",-11.11717655834619
